Constituency No.,Constituency Name,Candidate Name,Party,Votes,Status,Margin
248,CHHATNA,NOTA,None of the Above,2588,,-123384
249,RANIBANDH,KSHUDIRAM TUDU,Bharatiya Janata Party,131145,won,+ 52269
249,RANIBANDH,TANUSHREE HANSDA,All India Trinamool Congress,78876,lost,-52269
249,RANIBANDH,DEBLINA HEMBRAM,Communist Party of India (Marxist),13200,lost,-117945
249,RANIBANDH,GURUPADA SARDAR,Indian National Congress,1809,lost,-129336
249,RANIBANDH,SARASWATI  SARDAR,Independent,1746,lost,-129399
249,RANIBANDH,MONORANJAN BESRA,Ambedkarite Party of India,1295,lost,-129850
249,RANIBANDH,BABURAM KISKU,Independent,1125,lost,-130020
249,RANIBANDH,SURAJIT BASKEY,Independent,1108,lost,-130037
249,RANIBANDH,RANJAN LAL TUDU,Socialist Unity Centre Of India (COMMUNIST),899,lost,-130246
249,RANIBANDH,FULCHAND HANSDA,Independent,672,lost,-130473
249,RANIBANDH,MAHESWAR BESRA,Aam Janata Unnayan party,410,lost,-130735
249,RANIBANDH,GOPAL CHANDRA KISKU,Independent,376,lost,-130769
249,RANIBANDH,GOUR HEMBRAM,Independent,283,lost,-130862
249,RANIBANDH,NOTA,None of the Above,3884,,-127261
250,RAIPUR,KSHETRAMOHAN HANSDA,Bharatiya Janata Party,111443,won,+ 28742
250,RAIPUR,THAKURMANI SAREN,All India Trinamool Congress,82701,lost,-28742
250,RAIPUR,RAMCHANDRA MANDI,Communist Party of India (Marxist),8316,lost,-103127
250,RAIPUR,ANANTA KISKU,Bahujan Samaj Party,1499,lost,-109944
250,RAIPUR,RABINDRANATH HEMBROM,Independent,1345,lost,-110098
250,RAIPUR,SUKLAL TUDU,Aam Janata Unnayan party,1242,lost,-110201
250,RAIPUR,SHUBHRA HEMBRAM (MURMU,Indian National Congress,1025,lost,-110418
250,RAIPUR,GUNARAM HANSDA,Socialist Unity Centre Of India (COMMUNIST),430,lost,-111013
250,RAIPUR,SAGEN SAREN,Gondvana Gantantra Party,385,lost,-111058
250,RAIPUR,NOTA,None of the Above,1829,,-109614
251,TALDANGRA,SOUVIK PATRA,Bharatiya Janata Party,124537,won,+ 50073
251,TALDANGRA,FALGUNI SINGHABABU,All India Trinamool Congress,74464,lost,-50073
251,TALDANGRA,DEBKANTI MAHANTI,Communist Party of India (Marxist),13586,lost,-110951
251,TALDANGRA,NAYAN DAS CHAKRABORTY,Indian National Congress,1532,lost,-123005
251,TALDANGRA,PRASENJIT SINGHA,Independent,1480,lost,-123057
251,TALDANGRA,SUBHENDU MAHATA,Socialist Unity Centre Of India (COMMUNIST),1128,lost,-123409
251,TALDANGRA,SK SALAM HOSSAIN,Gondvana Gantantra Party,950,lost,-123587
251,TALDANGRA,RAJU KARMAKAR,Independent,560,lost,-123977
251,TALDANGRA,NOTA,None of the Above,1699,,-122838
252,BANKURA,NILADRI SEKHAR DANA,Bharatiya Janata Party,136992,won,+ 54177
252,BANKURA,DR. ANUP MANDAL,All India Trinamool Congress,82815,lost,-54177
252,BANKURA,AVOYANANDA MUKHOPADHYAY,Communist Party of India (Marxist),9702,lost,-127290
252,BANKURA,ARUP BANERJEE,Indian National Congress,2213,lost,-134779
252,BANKURA,LINA GHOSH,Socialist Unity Centre Of India (COMMUNIST),1553,lost,-135439
252,BANKURA,ARUN CHAND,Rashtriya Lok Janshakti Party,1200,lost,-135792
252,BANKURA,RINKU NANDI,Independent,873,lost,-136119
252,BANKURA,ASHIK MAHAMMAD KHAN,Independent,450,lost,-136542
252,BANKURA,NOTA,None of the Above,3533,,-133459
253,BARJORA,BILLESWAR SINHA,Bharatiya Janata Party,125419,won,+ 41310
253,BARJORA,GOUTAM MISHRA (SHYAM),All India Trinamool Congress,84109,lost,-41310
253,BARJORA,SUJIT CHAKRABORTY,Communist Party of India (Marxist),14868,lost,-110551
253,BARJORA,KEORA VIVEKANANDA,Indian National Congress,2199,lost,-123220
253,BARJORA,SAILESWAR PAL,Independent,2159,lost,-123260
253,BARJORA,BHOLANATH MONDAL,Independent,1922,lost,-123497
253,BARJORA,PRADIP BAURI,Socialist Unity Centre Of India (COMMUNIST),823,lost,-124596
253,BARJORA,TARAKNATH KARMAKAR,Independent,763,lost,-124656
253,BARJORA,GOBINDA SARKAR,Independent,414,lost,-125005
253,BARJORA,NOTA,None of the Above,2686,,-122733
254,ONDA,AMARNATH SHAKHA,Bharatiya Janata Party,128296,won,+ 31723
254,ONDA,SUBRATA DUTTA (GOPI),All India Trinamool Congress,96573,lost,-31723
254,ONDA,ASIT BARAN SARMA,All India Forward Bloc,9702,lost,-118594
254,ONDA,MAGARAM GHOSH,Socialist Unity Centre Of India (COMMUNIST),3389,lost,-124907
254,ONDA,PABAN SALAMPURIA,Indian National Congress,2021,lost,-126275
254,ONDA,SHYAMAL CHATTERJEE,Independent,1482,lost,-126814
254,ONDA,BAREN BHUIN,Independent,866,lost,-127430
254,ONDA,NOTA,None of the Above,3963,,-124333
255,BISHNUPUR,SHUKLA CHATTERJEE,Bharatiya Janata Party,111082,won,+ 30605
255,BISHNUPUR,TANMAY GHOSH (BUMBA),All India Trinamool Congress,80477,lost,-30605
255,BISHNUPUR,TITAS GUPTA,Communist Party of India (Marxist-Leninist) (Liberation),5385,lost,-105697
255,BISHNUPUR,UJJAL CHANDRA,Indian National Congress,3646,lost,-107436
255,BISHNUPUR,SUKLA BANDYOPADHYAY,Independent,1776,lost,-109306
255,BISHNUPUR,GULJAR BAYEN,Aam Janata Unnayan party,1668,lost,-109414
255,BISHNUPUR,SHASHIBHUSAN BANERJEE,Socialist Unity Centre Of India (COMMUNIST),1264,lost,-109818
255,BISHNUPUR,NOTA,None of the Above,2180,,-108902
256,KATULPUR,LAKSHMI KANTA MAJUMDAR,Bharatiya Janata Party,126241,won,+ 34367
256,KATULPUR,HARAKALI PROTIHER,All India Trinamool Congress,91874,lost,-34367
256,KATULPUR,RAMCHANDRA ROY,Communist Party of India (Marxist),13380,lost,-112861
256,KATULPUR,SUMITRA MALLIK SANTRA,Indian National Congress,2890,lost,-123351
256,KATULPUR,MOHAN SANTRA,Socialist Unity Centre Of India (COMMUNIST),2192,lost,-124049
256,KATULPUR,PABITRA MANDAL,Independent,1141,lost,-125100
256,KATULPUR,CHALAK SAMIR,Independent,873,lost,-125368
256,KATULPUR,NOTA,None of the Above,1662,,-124579
257,INDUS,NIRMAL KUMAR DHARA,Bharatiya Janata Party,108733,won,+ 900
257,INDUS,SHYAMALI ROY BAGDI,All India Trinamool Congress,107833,lost,-900
257,INDUS,JHARNA MALLIK,Communist Party of India (Marxist),7027,lost,-101706
257,INDUS,MOU MANDAL SAMANTA,Indian National Congress,2201,lost,-106532
257,INDUS,ANUPAM BAGDI,Independent,1479,lost,-107254
257,INDUS,ANIRBAN DAKUA,Independent,1400,lost,-107333
257,INDUS,NANDA MONDAL,Independent,1400,lost,-107333
257,INDUS,TAPAS MALIK,Independent,739,lost,-107994
257,INDUS,NOTA,None of the Above,1582,,-107151
258,SONAMUKHI,DIBAKAR GHARAMI,Bharatiya Janata Party,115549,won,+ 29410
258,SONAMUKHI,KALLOL SAHA,All India Trinamool Congress,86139,lost,-29410
258,SONAMUKHI,AJIT RAY,Communist Party of India (Marxist),10537,lost,-105012
258,SONAMUKHI,SUJOY SARKAR,Independent,2302,lost,-113247
258,SONAMUKHI,SUDHAN RAJAK,Independent,1926,lost,-113623
258,SONAMUKHI,RAHUL BAURI,Indian National Congress,1837,lost,-113712
258,SONAMUKHI,SANTU BAURI,Independent,609,lost,-114940
258,SONAMUKHI,DILIP KUMAR SAHA,Socialist Unity Centre Of India (COMMUNIST),480,lost,-115069
258,SONAMUKHI,ANANDA ANKURE,Independent,412,lost,-115137
258,SONAMUKHI,NOTA,None of the Above,2061,,-113488
259,KHANDAGHOSH,NABIN CHANDRA BAG,All India Trinamool Congress,104183,won,+ 8284
259,KHANDAGHOSH,GOUTAM DHARA,Bharatiya Janata Party,95899,lost,-8284
259,KHANDAGHOSH,RAMJIBAN RAY,Communist Party of India (Marxist),17535,lost,-86648
259,KHANDAGHOSH,ANUP KUMAR SAHA,Indian National Congress,1866,lost,-102317
259,KHANDAGHOSH,APURBALAL BISWAS,Bahujan Samaj Party,1022,lost,-103161
259,KHANDAGHOSH,BIJOY KUMAR MAJHI,Independent,933,lost,-103250
259,KHANDAGHOSH,BISWAJIT SING,Independent,537,lost,-103646
259,KHANDAGHOSH,NOTA,None of the Above,1271,,-102912
260,BARDHAMAN DAKSHIN,MOUMITA BISWAS MISRA,Bharatiya Janata Party,107754,won,+ 30470
260,BARDHAMAN DAKSHIN,KHOKAN DAS,All India Trinamool Congress,77284,lost,-30470
260,BARDHAMAN DAKSHIN,SUDIPTA GUPTA,Communist Party of India (Marxist),13137,lost,-94617
260,BARDHAMAN DAKSHIN,GOURAB SAMADDAR,Indian National Congress,2060,lost,-105694
260,BARDHAMAN DAKSHIN,MOUMITA BANERJEE,Independent,746,lost,-107008
260,BARDHAMAN DAKSHIN,PUSPA HANSDA,Bahujan Samaj Party,534,lost,-107220
260,BARDHAMAN DAKSHIN,SANTANU DUTTA,Independent,375,lost,-107379
260,BARDHAMAN DAKSHIN,UTPAL DUTTA,Socialist Unity Centre Of India (COMMUNIST),335,lost,-107419
260,BARDHAMAN DAKSHIN,LUXMI NARAYAN KORA,Independent,234,lost,-107520
260,BARDHAMAN DAKSHIN,NOTA,None of the Above,2364,,-105390
261,RAINA,SUBHASH PATRA,Bharatiya Janata Party,103487,won,+ 834
261,RAINA,MANDIRA DALUI,All India Trinamool Congress,102653,lost,-834
261,RAINA,SOMNATH MAJI,Communist Party of India (Marxist),19674,lost,-83813
261,RAINA,PAMPA MALIK,Indian National Congress,1980,lost,-101507
261,RAINA,SANJU POREL,Independent,1354,lost,-102133
261,RAINA,SHIULI SINGH,Independent,1267,lost,-102220
261,RAINA,JABA MALIK,Independent,783,lost,-102704
261,RAINA,PARESH CHANDRA BAG,Aam Janata Unnayan party,605,lost,-102882
261,RAINA,NOTA,None of the Above,1442,,-102045
262,JAMALPUR,ARUN HALDER,Bharatiya Janata Party,99936,won,+ 11178
262,JAMALPUR,BHUTNATH MALIK,All India Trinamool Congress,88758,lost,-11178
262,JAMALPUR,SAMAR HAZRA,Communist Party of India (Marxist),18732,lost,-81204
262,JAMALPUR,RAJIB SAHA,Indian National Congress,1656,lost,-98280
262,JAMALPUR,BISWAJIT BAG,Independent,1545,lost,-98391
262,JAMALPUR,GAURHARI PATRA,Bahujan Samaj Party,1153,lost,-98783
262,JAMALPUR,RAJ KUMAR MALIK,Independent,694,lost,-99242
262,JAMALPUR,ATASI PAKREY,Socialist Unity Centre Of India (COMMUNIST),502,lost,-99434
262,JAMALPUR,NOTA,None of the Above,1798,,-98138
263,MONTESWAR,SAIKAT PANJA,Bharatiya Janata Party,96559,won,+ 14798
263,MONTESWAR,CHOWDHURI SIDDIQULLAH,All India Trinamool Congress,81761,lost,-14798
263,MONTESWAR,ANUPAM GHOSH,Communist Party of India (Marxist),18192,lost,-78367
263,MONTESWAR,JYOTIRMAY MONDAL,Indian National Congress,2674,lost,-93885
263,MONTESWAR,SAMSUL HOQUE SEIKH,Aam Janata Unnayan party,2114,lost,-94445
263,MONTESWAR,KHOKAN DAS,Bahujan Samaj Party,681,lost,-95878
263,MONTESWAR,SOMNATH MALIK,Independent,442,lost,-96117
263,MONTESWAR,SAIKAT DHANI,Independent,382,lost,-96177
263,MONTESWAR,NOTA,None of the Above,1360,,-95199
264,KALNA,SIDDHARTHA MAJUMDAR,Bharatiya Janata Party,110790,won,+ 28630
264,KALNA,DEBO PRASAD BAG (POLTU),All India Trinamool Congress,82160,lost,-28630
264,KALNA,SHARMISTHA NAG SAHA,Communist Party of India (Marxist),13784,lost,-97006
264,KALNA,AMAL KUMAR SAHA,Indian National Congress,2563,lost,-108227
264,KALNA,NILRATAN BISWAS,Socialist Unity Centre Of India (COMMUNIST),1180,lost,-109610
264,KALNA,SUBRATA MONDAL,Independent,947,lost,-109843
264,KALNA,ANAY SAHA,Independent,476,lost,-110314
264,KALNA,NOTA,None of the Above,1333,,-109457
265,MEMARI,MANAB GUHA,Bharatiya Janata Party,106428,won,+ 7106
265,MEMARI,RASH BIHARI  HALDER,All India Trinamool Congress,99322,lost,-7106
265,MEMARI,KRISHANU BHADRA,Communist Party of India (Marxist),16891,lost,-89537
265,MEMARI,PRABIR GANGULI,Indian National Congress,1332,lost,-105096
265,MEMARI,BASANTI BAG(MAJHI),Bahujan Samaj Party,940,lost,-105488
265,MEMARI,BASIRUJJAMAN KAYAL,Aam Janata Unnayan party,887,lost,-105541
265,MEMARI,BIKASH CHANDRA DAS,Independent,463,lost,-105965
265,MEMARI,NOTA,None of the Above,1229,,-105199
266,BARDHAMAN UTTAR,NISITH KUMAR MALIK,All India Trinamool Congress,112688,won,+ 6460
266,BARDHAMAN UTTAR,SANJOY DAS,Bharatiya Janata Party,106228,lost,-6460
266,BARDHAMAN UTTAR,MAMONI MONDAL (ROY),Communist Party of India (Marxist),19465,lost,-93223
266,BARDHAMAN UTTAR,SUDIP DAS,Indian National Congress,1914,lost,-110774
266,BARDHAMAN UTTAR,PRIYANKA DAS,Independent,1028,lost,-111660
266,BARDHAMAN UTTAR,RAMKRISHNA MALIK (DEV),Bahujan Samaj Party,946,lost,-111742
266,BARDHAMAN UTTAR,GANESH MAJHI,Independent,876,lost,-111812
266,BARDHAMAN UTTAR,SUCHAND DAS,Aam Janata Unnayan party,542,lost,-112146
266,BARDHAMAN UTTAR,DIPALI BAURI,Independent,474,lost,-112214
266,BARDHAMAN UTTAR,NOTA,None of the Above,3771,,-108917
267,BHATAR,KARFA SOUMEN,Bharatiya Janata Party,98820,won,+ 6528
267,BHATAR,KONER SHANTANU,All India Trinamool Congress,92292,lost,-6528
267,BHATAR,HASINA KHATUN,Communist Party of India (Marxist),12839,lost,-85981
267,BHATAR,SOMNATH SAIN,Independent,3307,lost,-95513
267,BHATAR,DHURJATI MAJI,Indian National Congress,1647,lost,-97173
267,BHATAR,SK SARIFUL BASAR,Independent,934,lost,-97886
267,BHATAR,LAKSHMI NARAYAN HEMRAM,Bahujan Samaj Party,484,lost,-98336
267,BHATAR,BUDDHADEB (ALI),Independent,459,lost,-98361
267,BHATAR,BOTHAM CHOWDHURY,Aam Janata Unnayan party,405,lost,-98415
267,BHATAR,NAZRUL ISLAM,Independent,255,lost,-98565
267,BHATAR,NOTA,None of the Above,3252,,-95568
268,PURBASTHALI DAKSHIN,PRAN KRISHNA TAPADAR,Bharatiya Janata Party,111004,won,+ 16662
268,PURBASTHALI DAKSHIN,SWAPAN DEBNATH,All India Trinamool Congress,94342,lost,-16662
268,PURBASTHALI DAKSHIN,JIYADUL SEKH,Communist Party of India (Marxist-Leninist) (Liberation),7282,lost,-103722
268,PURBASTHALI DAKSHIN,RABINDRANATH MONDAL,Indian National Congress,2843,lost,-108161
268,PURBASTHALI DAKSHIN,FAJAR ALI SEIKH,Aam Janata Unnayan party,1288,lost,-109716
268,PURBASTHALI DAKSHIN,MANOTOSH MONDAL,Bahujan Samaj Party,893,lost,-110111
268,PURBASTHALI DAKSHIN,PRAVAT MAJHI,Socialist Unity Centre Of India (COMMUNIST),481,lost,-110523
268,PURBASTHALI DAKSHIN,NOTA,None of the Above,1923,,-109081
269,PURBASTHALI UTTAR,GOPAL CHATTOPADHYAY,Bharatiya Janata Party,111379,won,+ 30226
269,PURBASTHALI UTTAR,VASUNDHARA GOSWAMI,All India Trinamool Congress,81153,lost,-30226
269,PURBASTHALI UTTAR,PRADIP KUMAR SAHA,Communist Party of India (Marxist),25577,lost,-85802
269,PURBASTHALI UTTAR,AMITAVA BHATTACHARYA,Indian National Congress,1742,lost,-109637
269,PURBASTHALI UTTAR,SUKHCHAND GHOSH,Independent,1261,lost,-110118
269,PURBASTHALI UTTAR,BABAN GHOSH,Aam Janata Unnayan party,1137,lost,-110242
269,PURBASTHALI UTTAR,ABHIJIT DAS,Independent,939,lost,-110440
269,PURBASTHALI UTTAR,DIPAK GHOSH,Independent,504,lost,-110875
269,PURBASTHALI UTTAR,NOTA,None of the Above,1188,,-110191
270,KATWA,KRISHNA GHOSH,Bharatiya Janata Party,122020,won,+ 35066
270,KATWA,RABINDRANATH CHATTERJEE,All India Trinamool Congress,86954,lost,-35066
270,KATWA,SANJIB KUMAR DAS,Communist Party of India (Marxist),17939,lost,-104081
270,KATWA,CHATTERJEE RANAJIT,Indian National Congress,4233,lost,-117787
270,KATWA,SIPPY TEWARY,Aam Janata Unnayan party,2307,lost,-119713
270,KATWA,SUROJIT GHOSH,Independent,2004,lost,-120016
270,KATWA,KALIPADA GAIN,Bahujan Samaj Party,855,lost,-121165
270,KATWA,KRISHNA GHOSH,Independent,764,lost,-121256
270,KATWA,RAHUL PAL,Gondvana Gantantra Party,528,lost,-121492
270,KATWA,APURBA CHAKRABORTY,Socialist Unity Centre Of India (COMMUNIST),446,lost,-121574
270,KATWA,NOTA,None of the Above,1486,,-120534
271,KETUGRAM,ANADI GHOSH,Bharatiya Janata Party,111104,won,+ 27610
271,KETUGRAM,SEKH SAHONAWEZ,All India Trinamool Congress,83494,lost,-27610
271,KETUGRAM,JAKIR GAINE,All India Secular Front,10700,lost,-100404
271,KETUGRAM,MATHURA GHOSH,Independent,2509,lost,-108595
271,KETUGRAM,SK ABUBAKKAR,Indian National Congress,2167,lost,-108937
271,KETUGRAM,SABINA YASMIN (USHA),Aam Janata Unnayan party,2141,lost,-108963
271,KETUGRAM,SUSMITA PRADHAN,Bahujan Samaj Party,1026,lost,-110078
271,KETUGRAM,RAJUDDIN,Independent,782,lost,-110322
271,KETUGRAM,SATYANARAYAN MONDAL,Socialist Unity Centre Of India (COMMUNIST),668,lost,-110436
271,KETUGRAM,MURSED SEKH,Independent,558,lost,-110546
271,KETUGRAM,NOTA,None of the Above,4034,,-107070
272,MANGALKOT,SHISHIR GHOSH,Bharatiya Janata Party,104020,won,+ 12723
272,MANGALKOT,APURBA CHOWDHURY (ACHAL),All India Trinamool Congress,91297,lost,-12723
272,MANGALKOT,MIRAJ ALAM SEKH,Communist Party of India (Marxist),12698,lost,-91322
272,MANGALKOT,JAGADISH DUTTA,Indian National Congress,3117,lost,-100903
272,MANGALKOT,MANDAL AZIZUL,Aam Janata Unnayan party,1733,lost,-102287
272,MANGALKOT,RAMKRISHNA MALIK (DEV),Bahujan Samaj Party,991,lost,-103029
272,MANGALKOT,UDAY DAS,Independent,803,lost,-103217
272,MANGALKOT,SK MOZAMMEL SAMAD,Rashtriya Secular Majlis Party,620,lost,-103400
272,MANGALKOT,SEKH MOJAMMEL HAQUE (MONI),Socialist Unity Centre Of India (COMMUNIST),545,lost,-103475
272,MANGALKOT,NOTA,None of the Above,3423,,-100597
273,AUSGRAM,KALITA MAJI,Bharatiya Janata Party,107692,won,+ 12535
273,AUSGRAM,SHYAMA PRASANNA LOHAR,All India Trinamool Congress,95157,lost,-12535
273,AUSGRAM,CHANCHAL KUMAR MAJHI,Communist Party of India (Marxist),16478,lost,-91214
273,AUSGRAM,TAPAS BARAL,Indian National Congress,2082,lost,-105610
273,AUSGRAM,MANASA METE,Socialist Unity Centre Of India (COMMUNIST),1138,lost,-106554
273,AUSGRAM,NIHAR KUMAR HAZRA,Independent,914,lost,-106778
273,AUSGRAM,NOTA,None of the Above,2425,,-105267
274,GALSI,RAJU PATRA,Bharatiya Janata Party,110640,won,+ 10494
274,GALSI,ALOK KUMAR MAJHI,All India Trinamool Congress,100146,lost,-10494
274,GALSI,MANIMALA DAS,Communist Party of India (Marxist),13526,lost,-97114
274,GALSI,DEBASISH BISWAS,Indian National Congress,2044,lost,-108596
274,GALSI,KISHOR BISWAS,Bahujan Samaj Party,1116,lost,-109524
274,GALSI,AMLAN KRISHNA SARKAR,Aam Janata Unnayan party,862,lost,-109778
274,GALSI,SENAPATI BAGDI,Independent,837,lost,-109803
274,GALSI,SURYA BAGDI,Independent,394,lost,-110246
274,GALSI,NOTA,None of the Above,2780,,-107860
275,PANDABESWAR,JITENDRA KUMAR TEWARI,Bharatiya Janata Party,80501,won,+ 1398
275,PANDABESWAR,NARENDRANATH CHAKRABORTY,All India Trinamool Congress,79103,lost,-1398
275,PANDABESWAR,PRABIR KUMAR MONDAL,Communist Party of India (Marxist),8048,lost,-72453
275,PANDABESWAR,SAWANA KHATUN,Independent,1897,lost,-78604
275,PANDABESWAR,UTTAM KUMAR ROY,Indian National Congress,1273,lost,-79228
275,PANDABESWAR,SUMAN BHATTACHARJEE,Independent,989,lost,-79512
275,PANDABESWAR,LAKSHMINARAYAN BAURI,Independent,529,lost,-79972
275,PANDABESWAR,DANA GOSWAMI,Socialist Unity Centre Of India (COMMUNIST),360,lost,-80141
275,PANDABESWAR,RAJIA BIBI,Independent,321,lost,-80180
275,PANDABESWAR,JUBED SEKH,Aam Janata Unnayan party,252,lost,-80249
275,PANDABESWAR,PANKAJ MITRA,Independent,150,lost,-80351
275,PANDABESWAR,NOTA,None of the Above,1289,,-79212
276,DURGAPUR PURBA,CHANDRA SEKHAR BANERJEE,Bharatiya Janata Party,108888,won,+ 30934
276,DURGAPUR PURBA,PRADIP MAZUMDAR,All India Trinamool Congress,77954,lost,-30934
276,DURGAPUR PURBA,SIMANTA CHATTERJEE,Communist Party of India (Marxist),18999,lost,-89889
276,DURGAPUR PURBA,DEBESH CHAKRABORTY,Indian National Congress,2883,lost,-106005
276,DURGAPUR PURBA,DIPAK DHALI,Independent,1318,lost,-107570
276,DURGAPUR PURBA,RUBIYA BEGAM,Aam Janata Unnayan party,615,lost,-108273
276,DURGAPUR PURBA,KIRANMOYEE MONDAL,Socialist Unity Centre Of India (COMMUNIST),606,lost,-108282
276,DURGAPUR PURBA,MRINAL KANTI SAHA,Independent,563,lost,-108325
276,DURGAPUR PURBA,PAPIYA DHIBAR,Amra Bangalee,382,lost,-108506
276,DURGAPUR PURBA,NOTA,None of the Above,2594,,-106294
277,DURGAPUR PASCHIM,LAKSHMAN CHANDRA GHORUI,Bharatiya Janata Party,114729,won,+ 37598
277,DURGAPUR PASCHIM,KABI DUTTA,All India Trinamool Congress,77131,lost,-37598
277,DURGAPUR PASCHIM,PRAVASH SAIN,Communist Party of India (Marxist),13986,lost,-100743
277,DURGAPUR PASCHIM,TARUN ROY,Indian National Congress,3019,lost,-111710
277,DURGAPUR PASCHIM,DHRUBOJYOTI MUKHERJEE,Independent,1138,lost,-113591
277,DURGAPUR PASCHIM,LAKSHAN BAURI,Independent,654,lost,-114075
277,DURGAPUR PASCHIM,PRABHU NATH SAH,Bahujan Samaj Party,645,lost,-114084
277,DURGAPUR PASCHIM,SOUVIK BHATTACHARJEE,Independent,616,lost,-114113
277,DURGAPUR PASCHIM,RAMESH MURMU,Independent,567,lost,-114162
277,DURGAPUR PASCHIM,GULNAJ KHANAM,Aam Janata Unnayan party,442,lost,-114287
277,DURGAPUR PASCHIM,TAPAS ROY,Independent,279,lost,-114450
277,DURGAPUR PASCHIM,SOMNATH BANERJEE,Socialist Unity Centre Of India (COMMUNIST),269,lost,-114460
277,DURGAPUR PASCHIM,SUBRATA BHOWMIK,Mera Bharat Mahan Party,177,lost,-114552
277,DURGAPUR PASCHIM,AVISHEK ROY,Independent,175,lost,-114554
277,DURGAPUR PASCHIM,NOTA,None of the Above,2947,,-111782
278,RANIGANJ,PARTHA GHOSH,Bharatiya Janata Party,97416,won,+ 17786
278,RANIGANJ,KALOBARAN MONDAL,All India Trinamool Congress,79630,lost,-17786
278,RANIGANJ,NARAN BAURI,Communist Party of India (Marxist),13030,lost,-84386
278,RANIGANJ,FAIZ AHMAD,Indian National Congress,1543,lost,-95873
278,RANIGANJ,AJAY KUMAR PASWAN,Independent,1030,lost,-96386
278,RANIGANJ,ASHISH CHANDRA GARAI,Independent,649,lost,-96767
278,RANIGANJ,SAGAR SEN,Indian National League,397,lost,-97019
278,RANIGANJ,RAHUL GHOSH,Aam Janata Unnayan party,337,lost,-97079
278,RANIGANJ,NOTA,None of the Above,2452,,-94964
279,JAMURIA,DR. BIJAN MUKHERJEE,Bharatiya Janata Party,90150,won,+ 22514
279,JAMURIA,HARERAM SINGH,All India Trinamool Congress,67636,lost,-22514
279,JAMURIA,MD. SABBIR HUSSAIN,Communist Party of India (Marxist),15195,lost,-74955
279,JAMURIA,TARUN KUMAR GANGULI,Indian National Congress,1961,lost,-88189
279,JAMURIA,ABHILASH KUMAR PASI,Independent,1493,lost,-88657
279,JAMURIA,SWARUP GOPE (RAKHU),Independent,1197,lost,-88953
279,JAMURIA,KAZI HASIQUL HOQUE (MEWYA KAZI),Aam Janata Unnayan party,868,lost,-89282
279,JAMURIA,LAXMI MALLICK,Independent,828,lost,-89322
279,JAMURIA,RIYA MUKHERJEE,Nationalist Conservative Party,565,lost,-89585
279,JAMURIA,NOTA,None of the Above,1701,,-88449
280,ASANSOL DAKSHIN,AGNIMITRA PAUL,Bharatiya Janata Party,119582,won,+ 40839
280,ASANSOL DAKSHIN,TAPAS BANERJEE,All India Trinamool Congress,78743,lost,-40839
280,ASANSOL DAKSHIN,SILPI CHAKRABORTY,Communist Party of India (Marxist),10390,lost,-109192
280,ASANSOL DAKSHIN,SOUVIK MUKHERJEE,Indian National Congress,1367,lost,-118215
280,ASANSOL DAKSHIN,DIPIKA BAURI,Independent,1304,lost,-118278
280,ASANSOL DAKSHIN,ASGAR ALI,Independent,789,lost,-118793
280,ASANSOL DAKSHIN,ANUP BHATTACHARYA,Socialist Unity Centre Of India (COMMUNIST),391,lost,-119191
280,ASANSOL DAKSHIN,BIBEKANANDA SADHU,Amra Bangalee,369,lost,-119213
280,ASANSOL DAKSHIN,NOTA,None of the Above,2857,,-116725
281,ASANSOL UTTAR,KRISHNENDU MUKHERJEE,Bharatiya Janata Party,104516,won,+ 11615
281,ASANSOL UTTAR,MOLOY GHATAK,All India Trinamool Congress,92901,lost,-11615
281,ASANSOL UTTAR,AKHILESH KUMAR SINGH,Communist Party of India,4779,lost,-99737
281,ASANSOL UTTAR,PRASENJIT PUITANDY,Indian National Congress,1980,lost,-102536
281,ASANSOL UTTAR,MD. NASIM ANSARI,Independent,1520,lost,-102996
281,ASANSOL UTTAR,DANISH AZIZ,All India Majlis-E-Ittehadul Muslimeen,493,lost,-104023
281,ASANSOL UTTAR,SUNIL THAKUR,Independent,486,lost,-104030
